Company Name,Website,LinkedIn,Owner Name,Owner LinkedIn URL,Country,Email,Email Score,Services,White Label Signals,Pain Point,Team Size,Judge Score,Sent date,FU 1,FU 2,FU 3,Status,Source
E2Msolutions,https://e2msolutions.com,https://www.linkedin.com/company/e2m-solutions,,,USA,info@e2msolutions.com,scraped,"web development, UI/UX design, eCommerce","white label, partner program, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v5
Getswym,https://getswym.com,https://www.linkedin.com/company/swym-corporation,,,,unicornstudio.js@v1.4.27,scraped,"mobile development, eCommerce",partner program,,,,,,,,,SCOUT-WL v5
Mayankchandra,https://mayankchandra.com,,,,,chandraa.mayank@gmail.com,scraped,"web development, eCommerce","white label, outsourcing",,,,,,,,,SCOUT-WL v5
The Little Website,https://the-little-website.co,,,,,enquiries@the-little-website.co,scraped,"web development, UI/UX design",reseller,,,,,,,,,SCOUT-WL v5
Bni Singapore,https://bni-singapore.com,,,,,,,web development,,,,,,,,,,SCOUT-WL v5
Fearlessculture,https://fearlessculture.design,,,,USA,,,,,,,,,,,,,SCOUT-WL v5
Planetoid,https://planetoid.in,,,,Canada,contact@planetoid.in,scraped,"web development, mobile development, SaaS, eCommerce","white label, partner program",,,,,,,,,SCOUT-WL v5
Botdigit,https://botdigit.com,https://www.linkedin.com/company/botdigit,,,,,,web development,,,,,,,,,,SCOUT-WL v5
Azumo,https://azumo.com,https://www.linkedin.com/company/azumo-llc,,,,hello@azumo.co,scraped,"web development, mobile development, AI/ML, cloud/DevOps, QA/Testing","staff augmentation, outsourcing, reseller",,,,,,,,,SCOUT-WL v5
Citrusbug,https://citrusbug.com,https://www.linkedin.com/company/citrusbug,,,USA,hello@citrusbug.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v5
Penninetechnolabs,https://penninetechnolabs.com,https://www.linkedin.com/company/pennine-technolabs,,,USA,biz@penninetechnolabs.com,scraped,"web development, mobile development, AI/ML, UI/UX design, eCommerce","white label, outsourcing",,,,,,,,,SCOUT-WL v5
Infinity Solutions,https://infinity-solutions.in,,,,,,,,,,,,,,,,,SCOUT-WL v5
Shivlab,https://shivlab.com,https://www.linkedin.com/company/shivtechnolabs,,,USA,contact@shivlab.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","white label, staff augmentation",,,,,,,,,SCOUT-WL v5
Admerge,https://admerge.agency,https://www.linkedin.com/company/admerge-agency,,,Australia,sean@admerge.agency,scraped,eCommerce,white label,,,,,,,,,SCOUT-WL v5
Pixlogix,https://pixlogix.com,https://www.linkedin.com/company/pixlogix,,,USA,info@pixlogix.com,scraped,"web development, mobile development, UI/UX design, cloud/DevOps, eCommerce","staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v5
Softtrix,https://softtrix.com,https://www.linkedin.com/company/softtrix-web-solutions?originalSubdomain=in,,,USA,slick-carousel@1.8.1,scraped,"web development, UI/UX design, cloud/DevOps, eCommerce",white label,,,,,,,,,SCOUT-WL v5
Agencypartners,https://agencypartners.co,,,,USA,hello@deverust.com,scraped,"web development, AI/ML","white label, partner program, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v5
Advantageglobalnetwork,https://advantageglobalnetwork.com,https://www.linkedin.com/company/advantage-global-network,,,,contact@advantageglobalnetwork.com,scraped,,,,,,,,,,,SCOUT-WL v5
Infomineo,https://infomineo.com,https://www.linkedin.com/company/infomineo,,,USA,info@infomineo.com,scraped,"web development, AI/ML, cloud/DevOps, eCommerce",outsourcing,,,,,,,,,SCOUT-WL v5
Otakoyi,https://otakoyi.software,https://www.linkedin.com/company/otakoyi\,,,USA,info@otakoyi.software,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps",staff augmentation,,,,,,,,,SCOUT-WL v5
Happyfuncorp,https://happyfuncorp.com,https://www.linkedin.com/company/happyfuncorp,,,,hello@happyfuncorp.com,scraped,"mobile development, UI/UX design, eCommerce, custom software",,,,,,,,,,SCOUT-WL v5
Fidenda,https://fidenda.com,,,,,,,,,,,,,,,,,SCOUT-WL v5
Mtechzilla,https://mtechzilla.com,https://www.linkedin.com/company/mtechzilla,,,USA,sales@mtechzilla.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","partner program, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v5
Pressable,https://pressable.com,https://www.linkedin.com/company/pressable,,,,sales@pressable.com,scraped,"web development, eCommerce",white label,,,,,,,,,SCOUT-WL v5
Agencycompare,https://agencycompare.co.uk,,,,UK,,,"web development, eCommerce",,,,,,,,,,SCOUT-WL v5
Eumaxindia,https://eumaxindia.com,https://www.linkedin.com/company/eumaxindia-pvt-limited,,,,enquiry@eumaxindia.com,scraped,"web development, mobile development, UI/UX design",,,,,,,,,,SCOUT-WL v5
Com,https://webappanz.com.au,,,,USA,info@webappanz.com.au,scraped,"web development, mobile development, UI/UX design",,,,,,,,,,SCOUT-WL v5
Thinkmacrotechnologies,https://thinkmacrotechnologies.in,https://www.linkedin.com/company/think-macro-technologies,,,USA,amol@thinkmacrotechnologies.in,scraped,"web development, cloud/DevOps, custom software",outsourcing,,,,,,,,,SCOUT-WL v5
